Server Name,OS,Metric,Status,Current Avg (%),Current Max (%),Predicted Avg (%),Predicted Peak (%),Trend,Risks
192.168.129.224_cn-gs-hfyh-p_jian.li,windows,CPU,OK,1.5,10.0,1.7,10.2,STABLE,
192.168.129.224_cn-gs-hfyh-p_jian.li,windows,Memory,OK,24.5,26.0,23.1,24.6,STABLE,
192.168.129.224_cn-gs-hfyh-p_jian.li,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
192.168.129.224_cn-gs-hfyh-p_jian.li,windows,Disk (C:),OK,20.6,21.0,21.4,21.8,STABLE,
192.168.129.224_cn-gs-hfyh-p_jian.li,windows,Disk (Disk IO Stats-1 D:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
192.168.129.224_cn-gs-hfyh-p_jian.li,windows,Disk (D:),OK,1.0,1.0,1.0,1.0,STABLE,
cn-dataconnet-p_192.168.122.28_alex,windows,CPU,OK,6.6,45.0,7.6,46.1,STABLE,
cn-dataconnet-p_192.168.122.28_alex,windows,Memory,OK,33.4,38.0,32.1,36.7,STABLE,
cn-dataconnet-p_192.168.122.28_alex,windows,Disk (Disk IO Stats-0 D:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
cn-dataconnet-p_192.168.122.28_alex,windows,Disk (D:),WARNING,84.8,86.0,82.4,83.7,STABLE,Peak > 80%
cn-dataconnet-p_192.168.122.28_alex,windows,Disk (C:),WARNING,84.0,84.0,84.0,84.0,STABLE,Peak > 80%
cn-dataconnet-p_192.168.122.28_alex,windows,Disk (Disk IO Stats-1 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
vn-wsus-p_10.39.104.8_xr.ji,windows,CPU,OK,4.0,26.0,5.8,27.8,STABLE,
vn-wsus-p_10.39.104.8_xr.ji,windows,Memory,OK,36.8,51.0,29.0,43.2,FALLING,
vn-wsus-p_10.39.104.8_xr.ji,windows,Disk (D:),CRITICAL,93.7,96.0,89.4,91.7,STABLE,Peak > 90%
vn-wsus-p_10.39.104.8_xr.ji,windows,Disk (Disk IO Stats-1 D:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
vn-wsus-p_10.39.104.8_xr.ji,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
vn-wsus-p_10.39.104.8_xr.ji,windows,Disk (C:),OK,13.0,13.0,13.0,13.0,STABLE,
NEW-cistorage192.168.42.205,windows,CPU,OK,0.3,18.0,0.2,17.9,STABLE,
NEW-cistorage192.168.42.205,windows,Memory,OK,19.9,25.0,18.6,23.7,STABLE,
NEW-cistorage192.168.42.205,windows,Disk (D:),WARNING,89.9,90.0,89.6,89.7,STABLE,Peak > 80%
NEW-cistorage192.168.42.205,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
NEW-cistorage192.168.42.205,windows,Disk (Disk IO Stats-1 D:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
NEW-cistorage192.168.42.205,windows,Disk (C:),OK,9.0,9.0,9.0,9.0,STABLE,
AU-gs-front1-p_192.168.122.195_AUTO,windows,CPU,OK,3.6,10.0,3.7,10.1,STABLE,
AU-gs-front1-p_192.168.122.195_AUTO,windows,Memory,OK,34.3,36.0,32.1,33.8,STABLE,
AU-gs-front1-p_192.168.122.195_AUTO,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-gs-front1-p_192.168.122.195_AUTO,windows,Disk (C:),OK,28.0,28.0,28.0,28.0,STABLE,
AU-gs-front10-p_192.168.122.204,windows,CPU,OK,3.9,20.0,4.0,20.1,STABLE,
AU-gs-front10-p_192.168.122.204,windows,Memory,OK,61.3,64.0,59.0,61.6,STABLE,
AU-gs-front10-p_192.168.122.204,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-gs-front10-p_192.168.122.204,windows,Disk (C:),OK,24.0,24.0,24.0,24.0,STABLE,
AU-EDIPEAE1-P_192.168.42.47_ray,windows,CPU,OK,3.3,18.0,3.7,18.4,STABLE,
AU-EDIPEAE1-P_192.168.42.47_ray,windows,Memory,OK,53.4,61.0,56.6,64.2,STABLE,
AU-EDIPEAE1-P_192.168.42.47_ray,windows,Disk (Disk IO Stats-0 C: E:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-EDIPEAE1-P_192.168.42.47_ray,windows,Disk (E:),OK,42.2,43.0,43.0,43.8,STABLE,
AU-EDIPEAE1-P_192.168.42.47_ray,windows,Disk (C:),OK,28.7,31.0,31.1,33.4,STABLE,
越南文件服务器_10.61.62.160_henry,windows,CPU,NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
越南文件服务器_10.61.62.160_henry,windows,Memory,NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
越南文件服务器_10.61.62.160_henry,windows,Disk (E:),OK,76.0,76.0,76.0,76.0,STABLE,
越南文件服务器_10.61.62.160_henry,windows,Disk (D:),WARNING,81.8,82.0,80.8,81.0,STABLE,Peak > 80%
越南文件服务器_10.61.62.160_henry,windows,Disk (C:),OK,59.0,59.0,59.0,59.0,STABLE,
越南文件服务器_10.61.62.160_henry,windows,Disk (F:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-EDIPEAE2-P_192.168.42.48_ray,windows,CPU,OK,4.7,22.0,5.2,22.5,STABLE,
AU-EDIPEAE2-P_192.168.42.48_ray,windows,Memory,OK,52.9,60.0,58.0,65.1,STABLE,
AU-EDIPEAE2-P_192.168.42.48_ray,windows,Disk (Disk IO Stats-0 C: E:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-EDIPEAE2-P_192.168.42.48_ray,windows,Disk (C:),OK,27.7,30.0,30.1,32.4,STABLE,
AU-EDIPEAE2-P_192.168.42.48_ray,windows,Disk (E:),OK,62.1,63.0,62.6,63.4,STABLE,
AU-gs-front14-p_192.168.42.214_auto,windows,CPU,OK,9.9,30.0,9.8,29.9,STABLE,
AU-gs-front14-p_192.168.42.214_auto,windows,Memory,OK,60.1,63.0,58.7,61.6,STABLE,
AU-gs-front14-p_192.168.42.214_auto,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-gs-front14-p_192.168.42.214_auto,windows,Disk (D:),OK,1.0,1.0,1.0,1.0,STABLE,
AU-gs-front14-p_192.168.42.214_auto,windows,Disk (C:),OK,18.0,18.0,18.0,18.0,STABLE,
AU-gs-front14-p_192.168.42.214_auto,windows,Disk (Disk IO Stats-1 D:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-gs-front15-p_192.168.130.9_ac.sun,windows,CPU,OK,0.5,3.0,0.5,3.0,STABLE,
AU-gs-front15-p_192.168.130.9_ac.sun,windows,Memory,OK,70.3,72.0,67.3,69.0,STABLE,
AU-gs-front15-p_192.168.130.9_ac.sun,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-gs-front15-p_192.168.130.9_ac.sun,windows,Disk (Disk IO Stats-1 D:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-gs-front15-p_192.168.130.9_ac.sun,windows,Disk (C:),OK,23.0,24.0,23.0,24.0,STABLE,
AU-gs-front15-p_192.168.130.9_ac.sun,windows,Disk (D:),OK,2.0,2.0,2.0,2.0,STABLE,
AU-gs-front11-p,windows,CPU,OK,6.9,34.0,5.4,32.5,STABLE,
AU-gs-front11-p,windows,Memory,OK,67.0,70.0,62.9,65.9,STABLE,
AU-gs-front11-p,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-gs-front11-p,windows,Disk (C:),OK,38.3,39.0,36.9,37.6,STABLE,
AU-gs-front13-p_192.168.42.192_auto,windows,CPU,OK,1.1,26.0,1.2,26.1,STABLE,
AU-gs-front13-p_192.168.42.192_auto,windows,Memory,OK,52.8,55.0,50.9,53.1,STABLE,
AU-gs-front13-p_192.168.42.192_auto,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
AU-gs-front13-p_192.168.42.192_auto,windows,Disk (C:),OK,41.0,41.0,41.0,41.0,STABLE,
AU-gs-front12-p_192.168.42.191_auto,windows,CPU,OK,7.2,23.0,7.3,23.1,STABLE,
AU-gs-front12-p_192.168.42.191_auto,windows,Memory,OK,63.1,67.0,64.7,68.6,STABLE,
AU-gs-front12-p_192.168.42.191_auto,windows,Disk (Disk IO Stats-0 C:),NODATA,0.0,0.0,0.0,0.0,UNKNOWN,
